dataset_id,strategy_id,dataset_random_seed,strategy,duration,f1_auc,n_samples,n_features,n_informative,n_redundant,n_repeated,n_classes,n_clusters_per_class,weights,flip_y,class_sep,hypercube,scale,random_state
15,14,53,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},115.44356621196494,0.5721376893814945,400,4097,4097,0,0,40,?,?,?,?,?,?,53
15,14,67,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},115.48250212310813,0.52930448488397,400,4097,4097,0,0,40,?,?,?,?,?,?,67
15,14,57,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},116.03374774195254,0.5824122735915467,400,4097,4097,0,0,40,?,?,?,?,?,?,57
15,14,55,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},116.02004389092326,0.5668692237167308,400,4097,4097,0,0,40,?,?,?,?,?,?,55
15,14,64,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},116.35179526777938,0.5666286138736191,400,4097,4097,0,0,40,?,?,?,?,?,?,64
15,14,65,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},116.3722989349626,0.5654390545804838,400,4097,4097,0,0,40,?,?,?,?,?,?,65
15,14,58,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},117.01255843881518,0.5654793643630696,400,4097,4097,0,0,40,?,?,?,?,?,?,58
15,14,62,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},117.26921570999548,0.6051113374757338,400,4097,4097,0,0,40,?,?,?,?,?,?,62
15,14,56,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},117.51957509783097,0.6011566662142618,400,4097,4097,0,0,40,?,?,?,?,?,?,56
15,14,59,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},118.06948803807609,0.5984921643350629,400,4097,4097,0,0,40,?,?,?,?,?,?,59
15,14,61,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},117.20147487381473,0.5848698532558703,400,4097,4097,0,0,40,?,?,?,?,?,?,61
15,14,50,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},120.50709723192267,0.5890062425635042,400,4097,4097,0,0,40,?,?,?,?,?,?,50
